"CB1 0AH",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0AN",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0AP",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0BD",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0BX",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0FY",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0GJ",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0GL",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0GN",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0GR",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0GT",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0GX",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0HU",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0JH",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0JP",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0JS",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0JU",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0LD",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0LJ",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0LL",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0NB",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0PG",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0PL",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0QF",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0QX",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0QY",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0RL",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0RP",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0RW",10,546182,257043,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002706"
"CB1 0SA",10,544917,258401,"E92000001","E19000001","E18000006","E10000003","E07000008","E05002709"
